,symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,horsepower-binned,diesel,gas
0,3,122,alfa-romero,std,two,convertible,rwd,front,88.6,0.811148486,0.890277778,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,27,13495,11.19047619,Medium,0,1
1,3,122,alfa-romero,std,two,convertible,rwd,front,88.6,0.811148486,0.890277778,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,27,16500,11.19047619,Medium,0,1
2,1,122,alfa-romero,std,two,hatchback,rwd,front,94.5,0.822681403,0.909722222,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9,154,5000,19,26,16500,12.36842105,Medium,0,1
3,2,164,audi,std,four,sedan,fwd,front,99.8,0.848630466,0.919444444,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10,102,5500,24,30,13950,9.791666667,Medium,0,1
4,2,164,audi,std,four,sedan,4wd,front,99.4,0.848630466,0.922222222,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8,115,5500,18,22,17450,13.05555556,Medium,0,1
5,2,122,audi,std,two,sedan,fwd,front,99.8,0.851994234,0.920833333,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,15250,12.36842105,Medium,0,1
6,1,158,audi,std,four,sedan,fwd,front,105.8,0.925997117,0.991666667,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,17710,12.36842105,Medium,0,1
7,1,122,audi,std,four,wagon,fwd,front,105.8,0.925997117,0.991666667,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,18920,12.36842105,Medium,0,1
8,1,158,audi,turbo,four,sedan,fwd,front,105.8,0.925997117,0.991666667,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,17,20,23875,13.82352941,Medium,0,1
9,2,192,bmw,std,two,sedan,rwd,front,101.2,0.849591543,0.9,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16430,10.2173913,Low,0,1
